ID,タイトル,要約,抽出された部署,抽出された担当者,予算,申込締切,提出締切,掲載日,URL
189,「ツール・ド・9州2026佐賀ステージ(仮)機運醸成委託業務」に係るプロポーザルの審査結果をお知らせします,﻿,,,,,,2025-11-20,https://www.pref.saga.lg.jp/kiji003117003/index.html
188,東京圏向け”さが暮らしセミナー”企画運営業務委託企画コンペに係る質問への回答を掲載します,﻿,,,,,,2025-11-20,https://www.pref.saga.lg.jp/kiji003116997/index.html
190,「令和7年度佐賀県医療費等分析事業業務」に係るプロポーザルの審査結果をお知らせします,﻿,,,,,,2025-11-11,https://www.pref.saga.lg.jp/kiji003116062/index.html
88,<事後審査型>PLA PLA厨房機材等物品の物品調達に係る条件付1般競争入札を実施します,﻿,,,,2025-11-18,,2025-11-07,https://www.pref.saga.lg.jp/kiji003116789/index.html
55,【入札結果】佐賀道路建設に伴う文化財調査に係る出土遺物基礎整理業務委託(藤3郎屋敷遺跡I区),﻿,,,,,,2025-11-06,https://www.pref.saga.lg.jp/kiji003116770/index.html
191,令和7年度「森川海人っサミット」企画・運営業務委託に係る企画提案競技(企画コンペ)の結果をお知らせします,﻿,,,,,,2025-10-30,https://www.pref.saga.lg.jp/kiji003116660/index.html
101,【入札結果】令和7年度畜産試験場雑木等伐採・運搬業務委託,﻿,,,35000円,,,2025-10-30,https://www.pref.saga.lg.jp/kiji003116708/index.html
103,【入札結果】佐賀県豚熱経口ワクチン散布業務(後期)1般競争入札について,﻿,,,,,,2025-10-24,https://www.pref.saga.lg.jp/kiji003116627/index.html
102,令和7年度介護の魅力発信事業に係るさがケアの特集記事作成及び会員向けメール作成業務委託に係る入札結果,﻿,,,,,,2025-10-21,https://www.pref.saga.lg.jp/kiji003116706/index.html
193,「令和7年度看護の仕事体験事業及び合同就職説明会運営業務」委託に係る公募型プロポーザルの最優秀提案事業者を決定しました,﻿,,,,,,2025-10-10,https://www.pref.saga.lg.jp/kiji003116361/index.html
