source_url,department_name,source_type,link_match_mode,max_pages,pages_fetched,fetch_failed,all_kiji_links,keyword_matched_links,keyword_filtered_out,matched_in_crawled_log,matched_in_db,matched_with_appearance,matched_with_contact,matched_with_person_name,db_save_rate,person_name_rate,missing_titles_sample,saved_but_no_person_sample
https://www.pref.saga.lg.jp/list00019.html,有明海再生・環境課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,アカミミガメとアメリカザリガニは、2023年6月1日より「条件付特定外来生物」に指定されました,
https://www.pref.saga.lg.jp/list00020.html,循環型社会推進課,proposal,broad,1,1,0,43,6,37,0,0,0,0,0,0.0%,,プラスチックごみ削減に関する啓発業務委託に係るプロポーザルを実施します | 食品ロス削減(「九州食べきり協力店等」を募集しています) | 「第6次佐賀県廃棄物処理計画」(案)については、意見の募集を終了しました,
https://www.pref.saga.lg.jp/list00032.html,社会福祉課,proposal,broad,1,1,0,43,5,38,0,0,0,0,0,0.0%,,さが生活困窮者エールプロジェクト(令和8年4月から助成対象CSOを募集開始します) | 令和8年度 佐賀県生活困窮者子どもの学習・生活支援事業の委託先を公募します | 令和8年度 佐賀県生活困窮者自立相談支援事業の委託先を公募します,
https://www.pref.saga.lg.jp/list00034.html,長寿社会課,proposal,broad,1,1,0,43,5,38,3,3,3,1,0,60.0%,0.0%,佐賀県高齢者保健福祉推進委員会に参画いただく公募委員を募集しています | 令和7年度認知症キャラバン・メイト養成講座の受講者を募集します(募集期間を延長しました),さが介護業務効率化サポートセンター設置・運営業務委託に係る企画提案競技(プロポーザル方式)の募集を行います | 佐賀県介護事業所等及び介護施設等に対するサービス継続支援事業費補助金審査等業務委託の条件付一般競争入札(事前審査型)を行います | 令和7年度介護の魅力発信事業に係るさがケアの特集記事作成及び会員向けメール作成業務委託に係る入札結果
https://www.pref.saga.lg.jp/list00035.html,障害福祉課,proposal,broad,1,1,0,43,6,37,4,5,4,2,2,83.3%,40.0%,「令和8年度佐賀県介護職員等による喀痰吸引等実施のための第3号研修業務」の委託事業者を募集します,令和8年度佐賀県医療的ケア児支援センター運営業務に係るプロポーザル審査結果について | 令和8年度佐賀県入院者訪問支援事業実施業務に係る企画提案競技(プロポーザル方式)参加者を募集します | 令和8年度佐賀県医療的ケア児支援センター運営業務に係る企画提案競技(プロポーザル方式)参加者を募集します
https://www.pref.saga.lg.jp/list00036.html,医務課,proposal,broad,1,1,0,43,1,42,1,1,1,0,1,100.0%,100.0%,,
https://www.pref.saga.lg.jp/list00037.html,国民健康保険課,proposal,broad,1,1,0,43,9,34,7,4,1,1,0,44.4%,0.0%,令和8年度特定健診受診促進広報事業業務委託に係るプロポーザルを実施します。 | 「令和7年度後半における健康診査受診促進広報事業業務委託」の委託先が決定しました。 | 令和7年度佐賀県服薬対策事業データ分析事業業務委託の委託先が決定しました。,【説明会資料掲載】令和8年度佐賀県特定保健指導力向上人材育成事業業務委託に係るプロポーザルの説明会を実施しました。 | 【質問回答】令和8年度特定保健指導力向上人材育成事業に係るプロポーザルに関する質問への回答を掲載します | 令和8年度佐賀県特定保健指導力向上人材育成事業業務委託に係るプロポーザルを実施します
https://www.pref.saga.lg.jp/list00038.html,健康福祉政策課,proposal,broad,1,1,0,43,0,43,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00039.html,薬務課,proposal,broad,1,1,0,43,0,43,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00040.html,生活衛生課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,「令和8年度佐賀県食品衛生監視指導計画(案)」についての意見募集結果を公表します,
https://www.pref.saga.lg.jp/list00162.html,男女参画・女性の活躍推進課,proposal,broad,1,1,0,43,7,36,2,3,0,0,0,42.9%,0.0%,【子育てランド九州プロジェクト】「職場でのもやもや体験談」を募集します! | 困難や不安を抱える女性の居場所づくりプロジェクトの寄附募集について | 「フェムケアSAGA」フェスタ開催及びモニター企業を募集中です,【質問への回答】令和8年度 SAGA PAPA 育休アシスト奨励金広報業務委託に係る企画コンペに関する質問について | 【質問への回答】令和8年度女性のためのキャリアトークカフェ事業業務委託に係る公募型プロポーザルに関する質問について | 【質問への回答】令和7年度男女共同参画社会づくりのための県民意識調査業務委託に係る公募型プロポーザルに関する質問について
https://www.pref.saga.lg.jp/list00015.html,こども未来課,proposal,broad,1,1,0,43,7,36,5,5,4,1,0,71.4%,0.0%,令和8年度「さが子育てエール便」ギフト商品の提案を募集します | 令和7年度佐賀県保育人材確保のための動画・コミック制作業務委託の委託先を決定しました。,令和8年度年長児向けSAGAアクア体験会“SAGA Enji Basha Vol.5”実施等業務委託公募型プロポーザルを実施します | 令和8年度佐賀県保育士等キャリアアップ研修業務委託に係る企画コンペの質問回答について | 令和8年度佐賀県保育士等キャリアアップ研修業務委託に係る企画コンペを実施します
https://www.pref.saga.lg.jp/list00033.html,こども家庭課,proposal,broad,1,1,0,43,2,41,1,1,1,0,0,50.0%,0.0%,さがこどもエールプロジェクト(令和8年4月から助成対象CSOを募集開始します),【2月20日追記:質問回答掲載】佐賀県母子父子寡婦福祉資金未収金回収業務委託に係る企画コンペを実施します
https://www.pref.saga.lg.jp/list00056.html,産業政策課,proposal,broad,1,1,0,43,8,35,5,4,4,3,4,50.0%,100.0%,令和8年度佐賀県移住起業支援事業コーディネーター業務委託に係る企画提案競技(企画コンペ方式)を実施します。 | 「佐賀県物流2024年問題対策支援補助金」の2次公募について | 公告・縦覧・地元説明会・意見書の提出(大規模小売店舗立地法),
https://www.pref.saga.lg.jp/list00057.html,ものづくり産業課,proposal,broad,1,1,0,43,13,30,5,4,3,0,1,30.8%,25.0%,オープンファクトリーにチャレンジする事業者等を募集します | オープンファクトリーにチャレンジする事業者等を募集します(締切日:令和8年4月24日) | NEXT佐賀ものづくり投資促進事業費補助金の募集を開始します(募集期間:令和8年4月1日~4月22日),質問回答|令和8年度産福連携プロジェクト運営等委託業務のプロポーザル仕様書などへの質問について | 令和8年度理系人材育成事業(キミノミチ発見ラボ)企画運営等業務委託の公募型プロポーザルを実施します | 令和8年度産福連携プロジェクト運営等委託業務のプロポーザルを実施します
https://www.pref.saga.lg.jp/list00058.html,企業立地課,proposal,broad,1,1,0,30,1,29,0,0,0,0,0,0.0%,,「佐賀県産業用地造成事業特別会計経営戦略(案)」については、意見の募集を終了しました。,
https://www.pref.saga.lg.jp/list00059.html,産業人材課,proposal,broad,1,1,0,43,7,36,4,4,3,3,1,57.1%,25.0%,令和8年度「県内企業採用力強化支援事業」企画・運営業務委託の仕様書等に対する質問へ回答します | 【募集期間延長】令和8年度 職業訓練(8月~11月開始委託訓練)の受託を希望される事業者の方へお知らせ | 令和8年度「ジョブカフェSAGA設置・運営業務」の委託に関する企画提案を募集します,令和8年度県内企業訪問ツアー企画・運営業務に関する企画提案を募集します | 令和8年度職業訓練(委託訓練)企画コンペの審査結果(8~11月訓練開始分) | 令和8年度「佐賀県外国人材雇用サポート事業」企画・運営業務委託に関する企画提案を募集します
https://www.pref.saga.lg.jp/list00060.html,流通・貿易課,proposal,broad,1,1,0,43,8,35,2,2,0,0,0,25.0%,0.0%,SAGA BARプロモーション事業「飲食店連携」委託業務に係る企画提案競技(プロポーザル方式)を実施します | SAGA BARプロモーション事業「佐賀酒学」委託業務に係る企画提案競技(プロポーザル方式)を実施します | 令和8年度さが伝統産業等創造支援事業費補助金申請の募集のお知らせ,【質問に対する回答】SAGA BARプロモーション事業「飲食店連携」業務委託に係るプロポーザルに関する質問について | SAGA BARプロモーション事業「若者向け佐賀酒学」業務委託に係る企画提案競技(プロポーザル)を実施いたします
https://www.pref.saga.lg.jp/list00061.html,経営支援課,proposal,broad,1,1,0,6,0,6,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00163.html,農政企画課,proposal,broad,1,1,0,35,0,35,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00068.html,生産者支援課,proposal,broad,1,1,0,44,3,41,3,3,1,0,0,100.0%,0.0%,,佐賀県農業改良資金未収金回収業務委託に係る企画提案競技(公募型プロポーザル方式)の中止について。 | 【12月24日追記:質問回答掲載】佐賀県農業改良資金未収金回収務委託に係る公募型プロポーザルを実施します。 | 【入札結果】佐賀県豚熱経口ワクチン散布業務(後期)一般競争入札について
https://www.pref.saga.lg.jp/list00069.html,農業経営課,proposal,broad,1,1,0,44,2,42,0,0,0,0,0,0.0%,,農用地利用集積等促進計画の認可・公告(農業経営課) | 企業参入コーディネーター業務委託契約を締結しました,
https://www.pref.saga.lg.jp/list00070.html,園芸農産課,proposal,broad,1,1,0,44,11,33,3,3,1,1,0,27.3%,0.0%,【質問回答】佐賀のお茶広報業務に係るプロポーザルの質問への回答を掲載します | 全国お茶まつり消費拡大イベント業務委託に係るプロポーザルを実施します | 佐賀のお茶広報業務委託に係るプロポーザルを実施します,衛星画像等を活用した経営所得安定対策等に係る現地確認業務の省力化に向けた実証に関する業務委託に係るプロポーザルの結果をお知らせします | 【質問回答】全国お茶まつり消費拡大イベント業務に係る公募型プロポーザルの質問への回答を掲載します | 第80回全国お茶まつり佐賀大会広報資材デザイン作成業務委託に係る 企画コンペを実施します
https://www.pref.saga.lg.jp/list00071.html,畜産課,proposal,broad,1,1,0,44,3,41,2,0,0,0,0,0.0%,,【入札結果】佐賀県食肉センター高圧引込改修工事の条件付一般競争入札(事後審査型)を行います | 佐賀県競馬組合規約の変更に係る公告 | 佐賀県食肉センター管理厚生棟浄化槽解体及び新設工事の条件付一般競争入札(事後審査型)を行います,
https://www.pref.saga.lg.jp/list00111.html,農山村課,proposal,broad,1,1,0,44,1,43,0,0,0,0,0,0.0%,,令和8年度 みんなの中山間チャレンジ応援事業費補助金(チャレンジ中山間タイプ)の募集を行います,
https://www.pref.saga.lg.jp/list00112.html,農地整備課,proposal,broad,1,1,0,18,0,18,0,0,0,0,0,,,,
https://www.pref.saga.lg.jp/list00073.html,林業課,proposal,broad,1,1,0,44,7,37,1,2,0,0,0,28.6%,0.0%,「林業講習会」の受講生を募集します | 【2025年度さが林業アカデミー】「林業講習会」の受講生を募集します | 2025年度さが林業アカデミー開講!林業就業セミナーの参加者を募集します,【質問への回答]「ふる郷の木づかいプロジェクト」イベント開催業務委託に係る企画コンペに関する質問への回答について | 令和6年度 佐賀県造林補助金等申請システム導入業務委託に係る企画提案競技(プロポーザル方式)の結果をお知らせします
https://www.pref.saga.lg.jp/list00115.html,森林整備課,proposal,broad,1,1,0,44,4,40,1,1,0,0,0,25.0%,0.0%,佐賀県森林整備作業及び森林調査業務に係る業務委託契約書の様式及び契約関係様式集 | 佐賀県豊かな山を未来へつなぐ条例(案)についての意見募集結果 | 「森川海人っサミット」の参加者を募集します,令和7年度「森川海人っサミット」企画・運営業務委託に係る企画提案競技(企画コンペ)の結果をお知らせします
https://www.pref.saga.lg.jp/list00072.html,水産課,proposal,broad,1,1,0,44,1,43,0,0,0,0,0,0.0%,,ガンガゼバスターズ応援プロジェクトの寄附募集について,
https://www.pref.saga.lg.jp/list00105.html,県土企画課,proposal,broad,1,1,0,43,1,42,0,0,0,0,0,0.0%,,インフライズ(インフラ付加価値向上)業務委託に係るプロポーザルの結果をお知らせします,
